,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
6784,2007-02-02,107512.37302881455,93367.05290716056,122330.74033568737,107512.37302881456,107512.37302881456,932.4005411643597,932.4005411643597,932.4005411643597,24.625017276976976,24.625017276976976,24.625017276976976,907.7755238873826,907.7755238873826,907.7755238873826,0.0,0.0,0.0,108444.7735699789
6785,2007-02-05,107741.17357057658,95052.55114897668,122356.3883677169,107741.17357057658,107741.17357057658,796.13427228451,796.13427228451,796.13427228451,-134.3741711632147,-134.3741711632147,-134.3741711632147,930.5084434477247,930.5084434477247,930.5084434477247,0.0,0.0,0.0,108537.30784286109
6786,2007-02-06,107817.44041783069,94959.16339755777,123261.78586152429,107817.44041783069,107817.44041783069,891.8985437894596,891.8985437894596,891.8985437894596,-47.74431467337648,-47.74431467337648,-47.74431467337648,939.6428584628361,939.6428584628361,939.6428584628361,0.0,0.0,0.0,108709.33896162015
6787,2007-02-07,107893.70726508461,95620.58046383373,122813.60930575985,107893.70726508461,107893.70726508461,896.3228237381057,896.3228237381057,896.3228237381057,-53.787803527822426,-53.787803527822426,-53.787803527822426,950.1106272659282,950.1106272659282,950.1106272659282,0.0,0.0,0.0,108790.03008882272
6788,2007-02-08,107969.9741123387,95598.29982783101,123459.33519937977,107969.9741123387,107969.9741123387,897.1369735071634,897.1369735071634,897.1369735071634,-65.05893416173562,-65.05893416173562,-65.05893416173562,962.195907668899,962.195907668899,962.195907668899,0.0,0.0,0.0,108867.11108584587
6789,2007-02-09,108046.24095959282,94660.44263434582,122549.95940098575,108046.24095959282,108046.24095959282,1000.7634413626591,1000.7634413626591,1000.7634413626591,24.625017277173374,24.625017277173374,24.625017277173374,976.1384240854857,976.1384240854857,976.1384240854857,0.0,0.0,0.0,109047.00440095548
6790,2007-02-12,108275.04150135486,95096.6165153835,123294.30566109906,108275.04150135486,108275.04150135486,896.320623402494,896.320623402494,896.320623402494,-134.3741711630648,-134.3741711630648,-134.3741711630648,1030.6947945655588,1030.6947945655588,1030.6947945655588,0.0,0.0,0.0,109171.36212475736
6791,2007-02-13,108351.30834860887,95702.58097321093,122731.61240780095,108351.30834860887,108351.30834860887,1005.5992842487575,1005.5992842487575,1005.5992842487575,-47.74431467335418,-47.74431467335418,-47.74431467335418,1053.3435989221116,1053.3435989221116,1053.3435989221116,0.0,0.0,0.0,109356.90763285763
6792,2007-02-14,108427.57519586288,94901.53217099668,123900.10065140056,108427.57519586288,108427.57519586288,1024.379894216738,1024.379894216738,1024.379894216738,-53.78780352776574,-53.78780352776574,-53.78780352776574,1078.1676977445038,1078.1676977445038,1078.1676977445038,0.0,0.0,0.0,109451.95509007962
6793,2007-02-15,108503.842043117,96499.40857398094,123349.23234611176,108503.842043117,108503.842043117,1039.9708265482045,1039.9708265482045,1039.9708265482045,-65.0589341618226,-65.0589341618226,-65.0589341618226,1105.029760710027,1105.029760710027,1105.029760710027,0.0,0.0,0.0,109543.8128696652
